date,gdp,gdp_trend,gdp_cycle,consumption,consumption_trend,consumption_cycle,investment,investment_trend,investment_cycle,hours,hours_trend,hours_cycle,capital,capital_trend,capital_cycle,tfp,tfp_trend,tfp_cycle,real_m2,real_m2_trend,real_m2_cycle,t_bill_3mo,t_bill_3mo_trend,t_bill_3mo_cycle,pce_inflation,pce_inflation_trend,pce_inflation_cycle,unemployment,unemployment_trend,unemployment_cycle
1961-04-01,27.91017488727745,28.483510972856525,-0.02033404384303239,17.0539711749017,17.262874688386205,-0.012175133743852484,4.22552446591929,4.52053712084788,-0.06748743177961214,105.57934894214259,107.5631120760343,-0.018614971489792076,28.446775890949812,28.5694583326543,-0.004303428057279568,14.84871693541111,14.949135117290352,-0.006739986616905114,16.183743297761616,16.415913802579247,-0.014243979900228965,0.023033333333333333,0.028104269266603712,-0.00507093593327038,0.009930547093944142,0.013701178721487422,-0.0037706316275432795,0.07,0.05912526573543976,0.010874734264560246
1961-07-01,28.358950063288226,28.684347757737555,-0.011408920467289363,17.10197598062513,17.367576358977725,-0.015411028979141594,4.541966132965937,4.5615229154963135,-0.004296553225188404,105.87348756258939,107.50631274446688,-0.015304701300858703,28.502115532812702,28.68081680724118,-0.00625018161395019,15.04997390078536,15.039199490018387,0.0007161653188370032,16.364340071587737,16.58877505913688,-0.013621683836512855,0.023033333333333333,0.028356048843935264,-0.005322715510601931,0.009772382397571944,0.01333891464695668,-0.003566532249384736,0.06766666666666667,0.058907964941498234,0.008758701725168433
1961-10-01,28.8688415967489,28.89663744358724,-0.0009623688557729437,17.382253450380354,17.477774338989743,-0.0054802668692013334,4.620659439397518,4.60646087747731,0.0030775740728126166,107.05704568735996,107.4828512713014,-0.003969482125127044,28.676853892408356,28.797805148773186,-0.004208861328868441,15.177760340655457,15.131059495865742,0.00308166942825272,16.573800057381344,16.766150792212773,-0.011538881380992905,0.0246,0.028671953557126834,-0.004071953557126834,0.006405607928450685,0.013041289750331881,-0.006635681821881196,0.062,0.05857188066104467,0.0034281193389553294
1962-01-01,29.33713987573813,29.11989239571457,0.007432757762418696,17.523964366081472,17.59349403367251,-0.0039598400119711386,4.843682976926669,4.655099389111924,0.03971211545664466,107.27974521914467,107.49292309354189,-0.001985149656889895,28.86542789810268,28.921116339238242,-0.001927384968590129,15.367853790102515,15.224229383712242,0.009389714378975178,16.803458662333377,16.947702146400168,-0.008547520074154047,0.02723333333333333,0.029056846584650894,-0.0018235132513175628,0.008866638518607806,0.012817597809863785,-0.00395095929125598,0.056333333333333326,0.058124244569729575,-0.001790911236396249
1962-04-01,29.493164560731365,29.353598076793457,0.004743395876587897,17.707610209825518,17.71470352186048,-0.0004004996502207092,4.750712019018544,4.707190215926166,0.00920333266448159,108.15867535749437,107.53648819320762,0.005769150125911615,29.042270030631585,29.05138153528912,-0.0003136833194901101,15.335045526808484,15.318240775216768,0.0010964405649476205,17.067769450440956,17.132950567766844,-0.0038116856141576783,0.02716666666666667,0.0295130461340067,-0.0023463794673400304,0.012607830126078357,0.012672985302664475,-6.515517658611802e-05,0.05533333333333334,0.057574430917790326,-0.002241097584456987
1962-07-01,29.721032427248165,29.59736532207048,0.004169609734558932,17.779758380690193,17.84132825870605,-0.003456937737729593,4.790290977343664,4.762595669954406,0.0057983279831903545,107.43993914099848,107.61340429631284,-0.0016132294449571205,29.163851077234412,29.189211414232844,-0.0008692033463990612,15.49796663782454,15.4127039848377,0.005516727234413654,17.218564926372824,17.32130240822021,-0.005948939168809009,0.028399999999999998,0.030041730716911436,-0.0016417307169114374,0.011721567684539469,0.012610129356289005,-0.0008885616717495357,0.05566666666666666,0.05693069463594155,-0.0012640279692748904
1962-10-01,29.651540245007652,29.850883793198438,-0.006700375563080119,17.94831538270766,17.973289157764047,-0.001390460108868563,4.599117191461239,4.821201727362978,-0.04715884783955171,106.16306240435429,107.72394817408876,-0.014595682791151532,29.260233683918173,29.33522637976164,-0.002559677377996561,15.564370904198984,15.507230221847513,0.0036780046535040967,17.429263301395203,17.512094549003763,-0.004741166792913365,0.02813333333333334,0.030642612357915204,-0.002509279024581864,0.013690404707577875,0.012631666376307055,0.0010587383312708198,0.05533333333333334,0.05619988996890758,-0.0008665566355742435
1963-01-01,29.828137281210328,30.113913338691223,-0.009535150023409322,17.958287820624456,18.11046742578631,-0.008438356529233193,4.783128687517817,4.882908055787484,-0.020646085925597468,106.2825272106497,107.8683200803874,-0.014810325302007321,29.326469092472838,29.49004771471445,-0.00556235060754684,15.63324986348973,15.60147495012326,0.0020345896765379123,17.65362759944149,17.704567393452578,-0.0028813591454057708,0.029066666666666668,0.03131437699987004,-0.002247710333203371,0.012256367332297069,0.012739677417243465,-0.0004833100849463961,0.057666666666666665,0.05538808114393197,0.0022785855227346954
1963-04-01,30.032972975894527,30.38607968911435,-0.011688721287008708,18.046576116831986,18.25272619315939,-0.011358471351924138,4.84770465675326,4.947464287883643,-0.02036985397943636,106.49550718401966,108.04576696752966,-0.014452107383614354,29.453049947670575,29.654267471849334,-0.006808574987929639,15.696458225785362,15.695121500293235,8.516458901386414e-05,17.92832041936818,17.89787392462487,0.001699678273428873,0.0294,0.03205414228623761,-0.0026541422862376117,0.010187060645776125,0.012936905245080108,-0.0027498445993039827,0.05733333333333333,0.054500790790360965,0.002832542542972369
1963-07-01,30.566655513460816,30.666813088192097,-0.0032713372715744704,18.279642040200105,18.399828312815316,-0.006553349957826082,4.961856990792316,5.014542185158632,-0.010562064171771413,106.34557543906848,108.25455886740679,-0.01779154323352028,29.597371577514245,29.828392863576546,-0.007775161230619609,15.962685982886999,15.787866022454269,0.011012200800808003,18.19296970170636,18.091097294547154,0.005615284243156271,0.03293333333333333,0.03285762104152134,7.571229181198985e-05,0.012358148654268986,0.013225790556995768,-0.0008676419027267828,0.055,0.053544965653492545,0.0014550343465074556
1963-10-01,30.6385007559672,30.955296529305816,-0.010286703558109345,18.274693596891833,18.551397954746292,-0.015027908404423584,5.022051413943475,5.083730302777626,-0.012206805260343678,106.72461457038192,108.49199964991489,-0.016424613106566177,29.761541770965042,30.012821416288215,-0.008407655461018404,15.932370580429842,15.87939887566092,0.003330324256334727,18.31925013622572,18.283301264085647,0.001964282943322182,0.03496666666666667,0.03371886725129575,0.001247799415370919,0.013031631323302761,0.013607055397294666,-0.0005754240739919043,0.05566666666666666,0.05252932281771404,0.0031373438489526242
1964-01-01,31.152066581892292,31.25061746502317,-0.00315854891718903,18.583704203294467,18.706970485651933,-0.006611129047797704,5.1379223190160515,5.154559228586121,-0.0032328304855833156,108.32382822930053,108.75418300976715,-0.003964983296225633,29.935206872417048,30.207820058575678,-0.009065558124087048,16.010936877393025,15.969513916780441,0.002590519067053876,18.488471367798585,18.473576736048095,0.0008059419496921905,0.0353,0.034631982221317775,0.0006680177786822228,0.01488394070049015,0.01408087953409182,0.0008030611663983299,0.05466666666666666,0.051463488763879364,0.003203177902787298
1964-04-01,31.365776607931377,31.551624138014073,-0.00590768430980626,18.834791277829886,18.86588826937197,-0.0016496784125883401,5.107729040976021,5.226492074262236,-0.02298543078486537,108.35696341693979,109.0360627977021,-0.006247685140213122,30.13787039526333,30.413509207069055,-0.009104357904745175,16.079553573633802,16.05803470813826,0.001339171348069712,18.68677599034822,18.66100326440575,0.001380147925673203,0.03476666666666667,0.03559184713197898,-0.0008251804653123113,0.015509818953824306,0.014647083095456006,0.0008627358583682999,0.052000000000000005,0.050359050812748,0.0016409491872520013
1964-07-01,31.719937380314743,31.85705556965427,-0.0043134598092233745,19.08712147835202,19.027392102973998,0.003134208922559889,5.1625552425862855,5.298950019282027,-0.026077032389349775,108.5853454748299,109.33228073505684,-0.006855234230965124,30.316159224092836,30.629845107852663,-0.010293985871605571,16.20538459186052,16.144808143890515,0.003745048399895534,18.951660800620402,18.844637737195644,0.00566316563245195,0.03496666666666667,0.036593760674782594,-0.0016270940081159271,0.013967955865954451,0.015305988122684997,-0.001338032256730546,0.05,0.04922959827126868,0.0007704017287313222
1964-10-01,31.677200559318802,32.16548120574953,-0.01529666843186206,19.033376733958644,19.190676206367,-0.008230438598963552,5.223393065602276,5.371244366183989,-0.027912403927555784,109.16420196090154,109.63699809662967,-0.004321702728100618,30.498946650506156,30.85661272865407,-0.011658931423353724,16.09382284921014,16.229692618079206,-0.008406917820327653,19.167220200025977,19.02352328371745,0.00752525776267321,0.036833333333333336,0.03763250580344102,-0.0007991724701076827,0.013565664834522151,0.01605845586698805,-0.002492791032465899,0.04966666666666666,0.048089746039632175,0.0015769206270344824
1965-01-01,32.30925329218188,32.475325945596765,-0.005126930486937464,19.342205298815486,19.354944310068774,-0.0006583953517105279,5.69592433734,5.442560654009026,0.045501231971917244,110.40351600839901,109.9438421439258,0.004172271772671543,30.696839155139823,31.093395365371695,-0.012835738782514206,16.258090163588985,16.31258305971237,-0.0033461357457666985,19.371718248854595,19.19674349795705,0.00907352502158254,0.038900000000000004,0.03870184853791156,0.00019815146208844447,0.012046790432404197,0.016904511309413978,-0.00485772087700978,0.048999999999999995,0.04695459051910975,0.0020454094808902423
