date,gdp,gdp_trend,gdp_cycle,consumption,consumption_trend,consumption_cycle,investment,investment_trend,investment_cycle,hours,hours_trend,hours_cycle,capital,capital_trend,capital_cycle,tfp,tfp_trend,tfp_cycle
1986-01-01,45.34272867563827,44.95010267316847,0.008696780713543184,28.401711561875377,28.225233349364164,0.0062330321420596135,8.685096959706813,8.389944463059674,0.03457466263655773,109.30405687496543,109.33539699934924,-0.0002866831584427132,51.850054127313655,51.801074370781116,0.0009450887971591548,19.115960273431668,18.95317111815412,0.008552343673764451
1986-04-01,45.42207967432207,45.264975232093455,0.0034647635112903252,28.49491162813424,28.458840779788044,0.0012666716991951432,8.546476865191202,8.419014925391108,0.015026306300554904,108.71590670034273,109.68164873727486,-0.008843948181092465,52.21259332039728,52.088899043203405,0.002371861272163489,19.169881900848072,19.009849090883236,0.0083831783532613
1986-07-01,45.72594523361404,45.57574987471958,0.003290092132490763,28.949946960479174,28.689627583769735,0.009032722698663953,8.294694835176331,8.442453588424875,-0.017656841931654732,108.95496090388228,110.0186612959668,-0.009715405428248225,52.522651266703285,52.37409727859591,0.0028323868848363354,19.230699731398943,19.065762289407335,0.008613770207973381
1986-10-01,45.83748811126896,45.881476862006046,-0.0009592073814324031,29.05970266776875,28.916690360284875,0.004933476888829169,8.287063938662214,8.460391286655875,-0.02069968655133625,109.45267708288355,110.34407764828583,-0.00811117938189998,52.755293636799536,52.65549487275496,0.0018935214369246722,19.1908768001149,19.1209515335521,0.0036503266614840157
1987-01-01,46.01773972076651,46.18128047509027,-0.0035475632060402162,29.07454236741082,29.139266006771635,-0.002223653385270641,8.48986580997597,8.472877848157323,0.0020029740283211694,110.42574364979527,110.65484535672442,-0.00207256358387653,52.94740558626626,52.93198812115152,0.00029122692686200935,19.131463902911253,19.17556152062601,-0.0023023263595249865
1987-04-01,46.379926717484686,46.474239711216235,-0.0020314226015316628,29.46494116806297,29.356663918654498,0.0036815510745187296,8.439862041212006,8.479864539594258,-0.004728512925463946,110.71397276019891,110.94732159408242,-0.0021054548180368116,53.21611735781633,53.2025159688925,0.000255620441133253,19.2153206365186,19.22978261079977,-0.0007523441864769609
1987-07-01,46.657850937017876,46.759312938651306,-0.0021722355361819545,29.777374782619944,29.568138207678665,0.007051499983674159,8.372107587971536,8.48132384046036,-0.012960895451781695,111.18144153391731,111.2176904361684,-0.00032598061198285677,53.47394657875469,53.46600914793115,0.0001484464956837961,19.245013841253844,19.283779659975576,-0.002012304475712323
1987-10-01,47.341963527377494,47.035380778843916,0.006496979316599649,29.786487433856788,29.772997383498538,0.000452994200010437,8.947140802915932,8.477213956034827,0.05395216498478472,112.06906081225574,111.46196551308195,0.005431879429577791,53.7175415637316,53.72139047717389,-7.164839357232111e-05,19.39564250051574,19.337710335204786,0.00299133456146361
1988-01-01,47.45752870571937,47.30124203153485,0.0032986248065589585,30.23192409188595,29.97067123486932,0.008679177220530132,8.498970585761647,8.467435493324256,0.003717361072825831,111.87371559705687,111.67612091852602,0.0017677913173104187,54.081960201165586,53.967572908378344,0.002117312906934732,19.41904218937887,19.391709704978314,0.0014085008707711566
1988-04-01,47.970481343717715,47.55587176747837,0.008680582189559694,30.424683174994758,30.160592109621476,0.008718050278854417,8.637630659544133,8.452185785639493,0.021703235213055283,113.20300629389624,111.85650342826588,0.011965892341692985,54.34545953149595,54.20345384475517,0.002616438310346414,19.44569789107531,19.44595071208342,-1.3001300648962655e-05
1988-07-01,48.13401092353698,47.79833328294052,0.0069982447185741314,30.63159897854618,30.3423524306993,0.009487615969300034,8.583018681459889,8.431691311712392,0.017788297312397727,113.21684117602896,111.99958978483043,0.010809719690269226,54.626214245159424,54.42799142549035,0.003635312123013712,19.47528263959862,19.5006254024409,-0.001300432379223615
1988-10-01,48.66692710447057,48.02794434694435,0.013216669082545707,30.95623308535299,30.51571145853386,0.01433269018179173,8.677453215834039,8.406300675027314,0.03174657226558697,114.23464286352333,112.10271312150783,0.01883907131521223,54.89525596093885,54.64022506858461,0.004656598041033355,19.54305376814861,19.555927823642158,-0.0006585366387912295
1989-01-01,49.023633337357985,48.244234573618826,0.016026164899188178,31.045737223878742,30.68061544914818,0.011830474909019006,8.943996222543234,8.3764607590865,0.06555701257000068,115.04745004599516,112.16399610996719,0.025382601052340803,55.147324878259575,54.83931415228519,0.005600889960442501,19.564383387488675,19.612038294325057,-0.0024328373187323393
1989-04-01,49.29067375762234,48.447139752011616,0.017261588331805022,31.210463179464043,30.837296123431646,0.012028526397546369,8.791555702558142,8.342785759581162,0.052394497010817886,115.23347733887536,112.18292399722183,0.026829518977190325,55.49145823311137,55.024577327348666,0.008449157280683295,19.60756880538594,19.66913113487331,-0.0031348040948144806
1989-07-01,49.54290639235635,48.637096109236026,0.018452555755151145,31.397481423870914,30.98622879046867,0.013184807047295077,8.668017678186985,8.306226883353075,0.042634662716046545,115.22494113220272,112.16080868965635,0.026952594308685462,55.780373321233014,55.19552947710045,0.010540112650778255,19.67306551195966,19.727352753140487,-0.002755670011879374
1989-10-01,49.53015459231523,48.81508677321744,0.01454224751135813,31.487813986565257,31.128140619542606,0.011488360279954701,8.581962726509943,8.267993883802246,0.03727074126676566,114.96774967499186,112.1008868186809,0.025252410417102134,56.03154717505886,55.35198454747125,0.012202361501065795,19.665641758560785,19.786812604483778,-0.006142645819205317
1990-01-01,49.67258082344678,48.982685823586095,0.013986202041842422,31.61637620301821,31.264036996271667,0.011206761418364852,8.549887394984232,8.229495798686383,0.03819336370150017,114.37989699804199,112.00831544073436,0.020952224416936893,55.9286737721989,55.49413288932732,0.00779989481421417,19.800748706354685,19.847587386046055,-0.002362707043821466
1990-04-01,49.74849501621128,49.141944796159315,0.012267269265289205,31.58030478426093,31.39517192140266,0.005879539333841777,8.469891896959195,8.192306932117521,0.03332221063688001,113.63251488674764,111.89003241685843,0.01545315238741729,56.15211588355496,55.62260354953659,0.009474705870770705,19.887920544078224,19.90967842388326,-0.0010934268667983638
