country,iso code,observations,money growth,inflation,gdp growth,nominal interest rate,exchange rate depreciation,income group,oecd
Namibia,MUS,30.0,0.154668564437618,0.07741946943573508,0.031095263139147233,0.1353801772334471,0.06350107475341904,middle,no
New Zealand,NER,13.0,0.0666322963567596,0.02572080594046322,0.02864774586005825,0.07626661462680817,-0.024467170338318134,high,yes
Nicaragua,NGA,33.0,0.6109372701542601,0.5904628973004322,0.027506960829887683,30.50592315155266,0.5183462146260702,middle,no
Niger,NIC,13.0,0.15281833013738622,0.03227456553835162,0.0558426536515324,0.05528275641025645,0.008071492743903175,low,no
Nigeria,NLD,51.0,0.23571859993333688,0.17713623278621515,0.032500551159935,0.15311480811358247,0.1324521673968766,middle,no
North Macedonia,NOR,16.0,0.09659393019426799,0.026903874599824684,0.024872434143728306,0.08723968097580097,0.00629037564005408,middle,no
Oman,NZL,34.0,0.09626711817199118,0.03075890460004338,0.040905281092898704,0.08215461893642127,0.0032552219909249835,high,no
Pakistan,OMN,17.0,0.14961713086413653,0.08534884896931572,0.03765907328367968,0.11229262993977619,0.06594047294379957,middle,no
Panama,PAN,13.0,0.10346646107669244,0.019841543042393273,0.06004841001378436,0.0987588005215123,0.0,middle,no
Papua New Guinea,PER,37.0,0.10320299723105997,0.06788884647676219,0.036839780274078304,0.11990599099099096,0.039627685323049944,middle,no
Paraguay,PHL,27.0,0.1362641650137162,0.0810782029754713,0.029365677995492057,0.2924342720511101,0.04999040678757183,middle,no
Peru,PLW,35.0,0.5989691151511762,0.5165601267328432,0.035438845049859724,2.125573528111247,0.44965403257892467,middle,no
Philippines,PNG,44.0,0.15819979118226835,0.07757707079659748,0.04020911479541711,0.129469185605947,0.04615930666714241,middle,no
Qatar,PRT,17.0,0.16076169458148803,0.01691784760800119,0.08104521409769672,0.05695818567074935,0.0,high,no
Romania,PRY,28.0,0.28350716127741094,0.22427500157837899,0.03020504224681453,0.29859165009299227,0.16064974641328322,middle,no
Russian Federation,PSE,20.0,0.2061546247802315,0.10723776079262848,0.02915853099016852,0.11447708333333333,0.04878595091510585,middle,no
Rwanda,PYF,25.0,0.1620510064019769,0.06110942198891833,0.07389691389631547,0.1660903333333334,0.04790803225768836,low,no
Samoa,QAT,20.0,0.0792375941264829,0.026404848345657594,0.018550041891961522,0.1053879670506036,-0.013916965381571944,middle,no
Sao Tome and Principe,RUS,20.0,0.17661159163520201,0.10300031308291091,0.046441259818367664,0.2709125805610185,0.0478934203815522,middle,no
Senegal,SAU,13.0,0.11168678358228878,0.02214209714829063,0.04075053573762499,0.05240198717948719,0.008071492743903175,middle,no
Serbia,SDN,14.0,0.415031599140111,0.2225476413856553,0.03536470913248402,0.14006673849287438,0.21916065637140036,middle,no
Seychelles,SEN,32.0,0.12300766441453126,0.04804796508366205,0.03039952703899873,0.1281173696656268,0.03738978704717044,high,no
Sierra Leone,SGP,56.0,0.26427495143918245,0.21486393037989737,0.022990632946216616,0.20584270833333324,0.18918300390234766,low,no
Singapore,SLB,43.0,0.10486527247575173,0.018531077580146604,0.06059045019418963,0.06520310077488371,-0.011826065953640885,high,no
Solomon Islands,SOM,40.0,0.1404990499479375,0.08871740356678504,0.026083349276291745,0.12477961258670528,0.05924880978278102,middle,no
South Africa,SSD,56.0,0.13080748950163823,0.09911805756645431,0.024420926775244434,0.1306364583333333,0.058701057931927814,middle,no
Sri Lanka,SVK,19.0,0.1713353741657182,0.08179980331473646,0.054306652147845025,0.11973986842105268,0.03925241039534022,middle,no
