date,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend,real_m2,real_m2_trend,t_bill_3mo,t_bill_3mo_trend,pce_inflation,pce_inflation_trend,unemployment,unemployment_trend
1995-01-01,53.31558681897111,53.32747459148753,34.46339654188913,34.53328579370281,9.409506420539092,9.1160582609995,114.7043499425759,114.12943417646443,57.860482305273955,58.07096421516287,20.963211899510355,21.009762734165246,24.744040322026628,25.40025415979633,0.05736666666666667,0.04572939887277731,0.0225390984360625,0.02143464716042088,0.05466666666666666,0.0593311057687768
1995-04-01,53.3636343489559,53.66196236176851,34.728322237394096,34.75938692659937,9.178942931573024,9.246548936289964,114.28400646042365,114.56848422238161,58.2332139911439,58.341407517082104,20.985018753840453,21.054578467601637,24.80660311686648,25.41447233929608,0.055966666666666665,0.04625124397282483,0.022771456343987806,0.02079114812465839,0.05666666666666667,0.058314104248811074
1995-07-01,53.67893503779142,54.0074230382321,34.923660980899896,34.99197396877922,9.10527483675348,9.381608968491927,115.31033988803901,115.01285669582067,58.50720212668156,58.6330506712709,20.95224369280663,21.100012122142058,25.05511852725199,25.447251269274627,0.05366666666666667,0.04676845028244696,0.019628436395634274,0.020178363613048686,0.05666666666666667,0.05727497781041364
1995-10-01,53.895828675226824,54.3634586200879,35.05637836893074,35.231130401869486,9.257949312918372,9.520910439596333,115.2812572329305,115.4574388445158,58.74390526377382,58.94585911732394,21.010640218566785,21.146497763158454,25.107885918245394,25.49896528217479,0.05260000000000001,0.04726111388437265,0.01933916286428672,0.019596038749777674,0.05566666666666666,0.05622352567565554
1996-01-01,54.18414201013403,54.729453409155305,35.33063510702767,35.47689921864619,9.333283102360102,9.663922495608603,115.24768220576343,115.89722573175689,59.04643140749076,59.27973456343241,21.089086430919192,21.194380268988805,25.241734309170898,25.569784818174455,0.0493,0.047713642246571056,0.02000393612235718,0.019043574954520352,0.05533333333333334,0.05516916687214297
1996-04-01,54.949489990281634,55.10447846052624,35.71137450077124,35.72921401765867,9.702632843220528,9.809907405966444,116.04332220279103,116.327025947101,59.334269095547974,59.634464099415666,21.25533147855261,21.24392223503295,25.378190598171024,25.65967592954489,0.050199999999999995,0.04811377964083355,0.02089477141539353,0.018520213099523283,0.055,0.05412097239060143
1996-07-01,55.284782233308135,55.4872322778986,35.860930888413776,35.987913857687424,10.023985844232369,9.957862977755081,116.67884181558588,116.74116417955926,59.68473013638721,60.009696054075924,21.26536665105181,21.295322687434947,25.46081752795663,25.76843697402051,0.05096666666666667,0.04845026181254744,0.021074023551682863,0.01802579428276292,0.05266666666666667,0.05308811582579466
1996-10-01,55.690768844778745,55.87627835109814,36.09052683347811,36.25282188064145,9.979630949657642,10.1066545964002,117.6574964725256,117.13371265151585,60.09243118226933,60.40489211365181,21.254839287755928,21.34879008607209,25.590820030041716,25.895723222836924,0.04976666666666667,0.048713128394824515,0.02353169433742619,0.01756164370116313,0.05333333333333333,0.052080320164742275
1997-01-01,55.79037271205876,56.270010398345306,36.24625826770924,36.52367519422918,10.156521652313662,10.255121475947895,118.10204741427448,117.49863743009581,60.37654313071259,60.81930438127885,21.205685947173002,21.40451658244806,25.667209790824145,26.041023818055066,0.0506,0.04889399177381039,0.022368003969183814,0.017130991694940874,0.052333333333333336,0.05110704498873947
1997-04-01,56.594425417268724,56.66665798616166,36.34811281713893,36.800099500801444,10.564540766854378,10.40195421420205,118.40576834985971,117.83017812539147,60.84479842287762,61.25197495830639,21.417430246744768,21.462637690574223,25.84790947716553,26.203655157035058,0.05046666666666667,0.048985122797070554,0.01812606100432612,0.016740799885960764,0.05,0.050178533012311774
