date,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend
1981-04-01,40.62693001336423,40.559717919439436,24.633146272336923,24.815583347701523,7.8342444851593855,7.718685037169997,106.26788854614497,105.50221883385701,47.169098920894285,46.73758453669766,18.03170503858142,18.144958216770302
1981-07-01,40.97483092339685,40.63714056858342,24.606684044689946,24.893959074218603,8.197167856323466,7.7117233216189485,105.82370385107251,105.42620974445752,47.452304854411004,47.013644936982026,18.19753081994039,18.150661487129923
1981-10-01,40.39145912766627,40.72713082939432,24.308204630748573,24.982944475432053,7.921092497494477,7.70753936756568,104.99517853471751,105.3666676704926,47.81580860351316,47.281577963280256,17.98223666537648,18.161377854120698
1982-01-01,39.646310859951,40.833019149750335,24.38804216902553,25.08417068339536,7.123545205208516,7.707807110858153,102.89419065930568,105.33180731989769,48.11812759058765,47.542142070488964,17.84452323874668,18.177514833091212
1982-04-01,39.7057949376321,40.95797417172323,24.305644259785684,25.198878754147984,7.073947109000947,7.714338631302234,103.06365470622991,105.32961410252148,48.20691993414937,47.79645507271603,17.840675163170925,18.19937322575631
1982-07-01,39.439028407535936,41.104468134407746,24.43522569076098,25.327904774778652,6.946908124166988,7.728584128888077,102.0201202825302,105.366556860493,48.286654510651395,48.04602587788233,17.82810574508797,18.22704981439248
1982-10-01,39.33573611563333,41.27423680125504,24.803947957389024,25.471547287902712,6.3495814992362165,7.751605074198041,100.75492426986854,105.44771943793425,48.32601479093005,48.2926569481331,17.921119282420246,18.260420190464647
1983-01-01,39.74881770826249,41.46800665396649,24.999857468281327,25.629557144466336,6.471660983124265,7.783984021245416,101.11475605495212,105.57612319974291,48.23371483977499,48.53834169630772,18.0794948388814,18.29911116594995
1983-04-01,40.54698891947365,41.68530047983923,25.485278408315462,25.801269623693546,6.953928331116967,7.825368810930414,102.03438662545825,105.75185572981276,48.17723752878254,48.78513628962558,18.341842414936796,18.342536005064982
1983-07-01,41.241014083892296,41.924555620842604,25.93390626156966,25.985614343588384,7.291658934274087,7.874520972247453,103.79495637881917,105.9722080737717,48.23232571002757,49.034946114694684,18.442112909458096,18.389967333773424
1983-10-01,41.98074238538579,42.183472281251866,26.24686692101002,26.1813012573316,7.948704189713286,7.929608457917705,105.4417446922357,106.23212981070921,48.367585579715694,49.289329360178925,18.56359852026924,18.440672479347327
1984-01-01,42.62400287951046,42.459279195249636,26.374218965022337,26.3869774194579,8.625809777788177,7.988377160403989,107.02617790716269,106.52518477068224,48.59934685176507,49.5493655739237,18.634997792087738,18.49394515105282
1984-04-01,43.25102969152762,42.749018189478576,26.70694325658355,26.601294459948754,8.833300048611775,8.048523148387137,108.1431268400292,106.84439965796437,49.07050312526756,49.81556965811729,18.718638105109004,18.54914894133145
1984-07-01,43.551774997595565,43.0497625670919,26.8025679493864,26.822854985285463,8.944969960282313,8.108062555408077,108.31137434456424,107.18305219391954,49.570883243741065,50.08786198297346,18.763016552890225,18.60572872705293
1984-10-01,43.77606194851025,43.35882310104822,27.032422687224457,27.050282976574305,8.776641661417651,8.165427627911994,108.67325523550801,107.53515779878495,50.06316154995596,50.36568716853014,18.753823766244057,18.663228936128494
1985-01-01,44.1031541732896,43.67375042258668,27.48265960737843,27.282142462103028,8.443541947873273,8.219512941209583,109.29814913655804,107.89536427198053,50.538512376416065,50.64814918995611,18.761507950319,18.72128692964687
1985-04-01,44.38533150711794,43.99228654302587,27.714578791911084,27.516935777795585,8.547010566202749,8.269561656966234,109.7725177530992,108.25896149790346,50.905014370053365,50.93413994035112,18.780912488176906,18.779592390422543
1985-07-01,44.94515612152135,44.3123774442383,28.217920517377078,27.75323948677576,8.423498257466624,8.31494538521837,109.79111716791483,108.62205285031494,51.27263900062591,51.222456512264365,18.967867221229113,18.837856383961547
1985-10-01,45.14573739863318,44.632156730594666,28.23479038151782,27.989705650640772,8.731766891588737,8.355203347403004,110.01932984047372,108.98163502660063,51.579687071936235,51.511849916178136,18.98709980614422,18.895787216662598
1986-01-01,45.34272867563827,44.95010267319736,28.401711561875377,28.225233349381373,8.685096959706813,8.389944463062196,109.30405687496543,109.3353969994313,51.850054127313655,51.80107437081408,19.115960273431668,18.95317111815892
1986-04-01,45.42207967432207,45.26497523211983,28.49491162813424,28.458840779804135,8.546476865191202,8.419014925393542,108.71590670034273,109.68164873735172,52.21259332039728,52.08889904323293,19.169881900848072,19.009849090886767
1986-07-01,45.72594523361404,45.57574987474293,28.949946960479174,28.689627583784375,8.294694835176331,8.442453588427163,108.95496090388228,110.01866129603715,52.522651266703285,52.374097278621335,19.230699731398943,19.065762289409612
